yorum,aspect,sentiment
ASUS ASUS ASUSU,genel,notr
ürün tabiki çok güzel apple sonuçta ama trendyol çok yavaş kargoları maalesef ama sorunsuz geldi teşekkürler,genel,pozitif
ürün tabiki çok güzel apple sonuçta ama trendyol çok yavaş kargoları maalesef ama sorunsuz geldi teşekkürler,kargo,negatif
"Kesinlikle almayın, 19 ekim 2024 tarihinde teslim aldım cihazı, garanti bitimi 26 mart 2025 gösteriyor. Daha önce kullanılmış ürünü gönderiyorlar ve BOZUK!!! Ci",genel,negatif
"Kesinlikle almayın, 19 ekim 2024 tarihinde teslim aldım cihazı, garanti bitimi 26 mart 2025 gösteriyor. Daha önce kullanılmış ürünü gönderiyorlar ve BOZUK!!! Ci",kalite,negatif
Ağustosda aldım ocakta garantisi başlamış,genel,negatif
batarya bozuk geldi üründe sorun yoktu servis uyarısı verdi geri iade talebi oluşturdum.,batarya,negatif
batarya bozuk geldi üründe sorun yoktu servis uyarısı verdi geri iade talebi oluşturdum.,kalite,pozitif
Çok şaşkınım nasıl böyle ürün gönderirler aklım almıyor sıfır kapalı kutu pil şarj olmuyor  servis öneriliyor diyor iade yaptılar neyseki,batarya,negatif
Çok şaşkınım nasıl böyle ürün gönderirler aklım almıyor sıfır kapalı kutu pil şarj olmuyor  servis öneriliyor diyor iade yaptılar neyseki,ambalaj,notr
Ürün kusurlu gönderildi..açıldığında şarjı %1di birkaç saat durmasına rağmen dolmadı servis öneriliyor uyarısı verdi. Ayrıca daha yeni aldığım ürünün 2 yıl gara,kalite,negatif
Ürün kusurlu gönderildi..açıldığında şarjı %1di birkaç saat durmasına rağmen dolmadı servis öneriliyor uyarısı verdi. Ayrıca daha yeni aldığım ürünün 2 yıl gara,batarya,negatif
Tavsiye etmiyorum. Sıfır ürün arızalı çıktı. Şarj dolmuyor. %1 şarjla geldi. Aynı şarjla iade ettik. Paramızı aldık çok şükür.,genel,negatif
Tavsiye etmiyorum. Sıfır ürün arızalı çıktı. Şarj dolmuyor. %1 şarjla geldi. Aynı şarjla iade ettik. Paramızı aldık çok şükür.,kalite,negatif
Tavsiye etmiyorum. Sıfır ürün arızalı çıktı. Şarj dolmuyor. %1 şarjla geldi. Aynı şarjla iade ettik. Paramızı aldık çok şükür.,batarya,negatif
Garanti süresine çok az kalmış ve pil servisi uyarısı veriyo şarja takmadan çalışmıyor bilgisayarın alt tarafındada yanık izi var 3 4 bin TL üstüne koyun gidip,batarya,negatif
Garanti süresine çok az kalmış ve pil servisi uyarısı veriyo şarja takmadan çalışmıyor bilgisayarın alt tarafındada yanık izi var 3 4 bin TL üstüne koyun gidip,kalite,negatif
Pil şarj olmuyor servis öneriliyor uyarısı veriyor bu nasıl iş anlamadım acil yardım istiyorum,batarya,negatif
Pili bitmiş 3 yıl önce garantisi bitmiş ürünü bana gönderip bu durumu belgelediğim halde 15 günlük süre geçtiğin için almayan satıcı. İsterseniz siz de alın.,batarya,negatif
Pili bitmiş 3 yıl önce garantisi bitmiş ürünü bana gönderip bu durumu belgelediğim halde 15 günlük süre geçtiğin için almayan satıcı. İsterseniz siz de alın.,genel,negatif
0 ürün nasıl bozuk çıkabiliyor aklım almıyor. Pil bozuk çıktı. Pil şarj olmuyor uyarısı veriyor. Güç kablosunu çektiğim anda kapanıyor. 2-3 hafta servisle uğraş,batarya,negatif
Trendyol satıcısından birşey alırken artık bir değil bin kere düşünerek alışveriş yapacağım belki hiç yapmayacağım buradaki yorumlara güvenerek alışveriş yaptım,genel,negatif
Sıfır kutusunda çıkarıyorsun o da ne üründe çizikler var. Muhtemelen iade edilen ürünleri paketleyip satıyorlar. Trandyoldan alışveriş yapmayacağım bu son. Mevz,kalite,negatif
Sıfır kutusunda çıkarıyorsun o da ne üründe çizikler var. Muhtemelen iade edilen ürünleri paketleyip satıyorlar. Trandyoldan alışveriş yapmayacağım bu son. Mevz,genel,negatif
Sürekli fiyatıyla oynuyorlar,fiyat,negatif
Cihaz kusurlu çıktı. Bataryasında sıkıntı var kutuyu açtıktan sonra bilgisayarı açtığımda ilk olarak Apple logosu çıkmadı daha sonra şarja taktığımda açıldı. Şa,kalite,negatif
Cihaz kusurlu çıktı. Bataryasında sıkıntı var kutuyu açtıktan sonra bilgisayarı açtığımda ilk olarak Apple logosu çıkmadı daha sonra şarja taktığımda açıldı. Şa,batarya,negatif
Ürünü aldım pil sorunu verdi.şu an servise verdim laptopu.ilk defabilgisayar aldım trendyoldan çok üzüldüm ilk günden servise gitmesine bilgisayarımın.yetkili s,batarya,negatif
"Ürünü değişim için iade ettim. Şarjı %1 de kalıyordu sürekli, ürünün garantisini sorgulattım 50 gün kaldığını öğrendim. Yani ürün sorunluydu ben de değişime gön",batarya,negatif
"Ürünü değişim için iade ettim. Şarjı %1 de kalıyordu sürekli, ürünün garantisini sorgulattım 50 gün kaldığını öğrendim. Yani ürün sorunluydu ben de değişime gön",genel,negatif
Kargom bugün geldi fakat pil servis öneriliyor olarak gözüküyor ve şarj olmuyor,kargo,notr
Kargom bugün geldi fakat pil servis öneriliyor olarak gözüküyor ve şarj olmuyor,batarya,negatif
Ürün bozuk geldi iade aldılar ama pili vs bozuk geldi görmeden almayın buradan 2020 çıkışlı alıp stoğa koymuşlar garantisi de bitmek üzere  geldi,kalite,negatif
Ürün bozuk geldi iade aldılar ama pili vs bozuk geldi görmeden almayın buradan 2020 çıkışlı alıp stoğa koymuşlar garantisi de bitmek üzere  geldi,batarya,negatif
Ürün bataryası arızalı çıktı. Bilgisayar şarj olmuyor. Depoda yıllardır durmaktan sanırım batarya ölmüş. Firmaya gönderdim değişim için. Fakat firma bana açılmı,batarya,negatif
Ürün hiçbir şekilde şarj olmuyor kusurlu ürün gönderildi,batarya,negatif
Ürün hiçbir şekilde şarj olmuyor kusurlu ürün gönderildi,kalite,negatif
08.08.2023 tarihinde aldığım cihaz 02.02.2023 tarihibde garanti süresi başlamıştır.,genel,negatif
şimdilik ofis kullanımı için aldık ve sorunsuz gidiyor.,genel,pozitif
macbook güzel geldi tenk yu,genel,pozitif
macbook güzel geldi tenk yu,kargo,pozitif
Eh işte iyi buna şükür,genel,pozitif
ürün geldi. Şarja takınca sadece pil % 1 gösteriyor,batarya,negatif
uzay grisi sipariş ettim ancak pembe tarzında bir renk geldi ne alakaysa,genel,negatif
ürün elime ulasti fakat şarj olmuyor %1 geçmiyor,batarya,negatif
ürün hafif çizik geldi indirim ve kuponla çok uygun fiyata aldığım icin iade etmedim,kalite,negatif
ürün hafif çizik geldi indirim ve kuponla çok uygun fiyata aldığım icin iade etmedim,fiyat,pozitif
batarya bozuk geldi servise gönderdim,batarya,negatif
sıkıntı yok sadece kutuyu açtıktan sonra garanti suresini kontrol edin,genel,notr
Yaklaşık 20 yıldır telefonumdan bilgisayara Apple kullanıyorum. Asla vazgeçmem,genel,pozitif
tamda istediğimiz gibi geldi teşekkür ediyorum,genel,pozitif
tamda istediğimiz gibi geldi teşekkür ediyorum,kargo,pozitif
ürünü kızıma aldım beğendi,genel,pozitif
Kardeşime aldım beğendi,genel,pozitif
çok memnunum iyi ki almışım,genel,pozitif
ürün güzel sevdim şarjı uzun süreli,genel,pozitif
ürün güzel sevdim şarjı uzun süreli,batarya,pozitif
Ürün güzeldi paketleme sağlam ve güvenilir geldi,genel,pozitif
Ürün güzeldi paketleme sağlam ve güvenilir geldi,ambalaj,pozitif
Gayet güzel oğluma aldım,genel,pozitif
Güzel ama çok küçük oyuncak gibi paketlenmesi falan güzeldi sorunsuz geldi,genel,pozitif
Güzel ama çok küçük oyuncak gibi paketlenmesi falan güzeldi sorunsuz geldi,ambalaj,pozitif
Güzel ama çok küçük oyuncak gibi paketlenmesi falan güzeldi sorunsuz geldi,kargo,pozitif
Çok iyi bu fiyata,genel,pozitif
Çok iyi bu fiyata,fiyat,pozitif
Hızlı geldi severek kullanıyorum,kargo,pozitif
Hızlı geldi severek kullanıyorum,genel,pozitif
İstediğim bilgisayardı iyi garantisine bakıp,genel,pozitif
Sıkıntısız geldi orjinal ürün,kargo,pozitif
Sıkıntısız geldi orjinal ürün,genel,pozitif
Mümkünse daha fazla RAM i olan bir modelini tercih edin,genel,notr
Mümkünse daha fazla RAM i olan bir modelini tercih edin,batarya,notr
Çok hafif inanılmaz. Teşekkürler Trendyol,genel,pozitif
Şimdilik bir sorun yok çok şükür,genel,pozitif
"tek sıkıntı garanti süremi erkenden başlatmışlar, onun dışında sağlam geldi",genel,negatif
"tek sıkıntı garanti süremi erkenden başlatmışlar, onun dışında sağlam geldi",kargo,pozitif
Mükemmel  çok iyi,genel,pozitif
çok hafif ve zarif,genel,pozitif
Güzel iyi paketleme.,genel,pozitif
Güzel iyi paketleme.,ambalaj,pozitif
Sağlam paketleme güvenilir,ambalaj,pozitif
Bilgisayar güzel kargoyla ilgili sıkıntı yaşamıştık şikayetimize dönüş yaptılar,genel,pozitif
Bilgisayar güzel kargoyla ilgili sıkıntı yaşamıştık şikayetimize dönüş yaptılar,kargo,negatif
Bilgisayar güzel kargoyla ilgili sıkıntı yaşamıştık şikayetimize dönüş yaptılar,kargo,pozitif
3 günde geldi gayet iyi apple kalitesi 1 puanı faturasını yollamadıkları için kırdım,kargo,pozitif
3 günde geldi gayet iyi apple kalitesi 1 puanı faturasını yollamadıkları için kırdım,kalite,pozitif
3 günde geldi gayet iyi apple kalitesi 1 puanı faturasını yollamadıkları için kırdım,genel,negatif
"Ürün çok iyi.. sorunsuz ve hızlı ulaştı, teşekkürler.. ancak bu meblağaki bir ürün için fiyata kargo ücreti eklemenizi yadırgadım..",genel,pozitif
"Ürün çok iyi.. sorunsuz ve hızlı ulaştı, teşekkürler.. ancak bu meblağaki bir ürün için fiyata kargo ücreti eklemenizi yadırgadım..",kargo,pozitif
"Ürün çok iyi.. sorunsuz ve hızlı ulaştı, teşekkürler.. ancak bu meblağaki bir ürün için fiyata kargo ücreti eklemenizi yadırgadım..",fiyat,negatif
Biraz geç ulaştı elimize ama güzel,kargo,negatif
Biraz geç ulaştı elimize ama güzel,genel,pozitif
"ben 32kye aldım, ben aldıktan sonra fiyatının düşmesi gerçekten cok sacma...",fiyat,negatif
"ben 32kye aldım, ben aldıktan sonra fiyatının düşmesi gerçekten cok sacma...",kargo,negatif
şimdilik güzel görünüyor teşekkürler,genel,pozitif
Hızlı Kargo,kargo,pozitif
Ürün sağlam. Geç geldi,kalite,pozitif
Ürün sağlam. Geç geldi,kargo,negatif
"Harika ürün, kargo beklediğimden 1-2 gün geç geldi",genel,pozitif
"Harika ürün, kargo beklediğimden 1-2 gün geç geldi",kargo,negatif
Olması gerekenden sadece 1 gün geç geldi. Onun dışında güzel bir ürün paketleme kargo sağlam şekilde elime ulaştı.,kargo,notr
Olması gerekenden sadece 1 gün geç geldi. Onun dışında güzel bir ürün paketleme kargo sağlam şekilde elime ulaştı.,genel,pozitif
